Year,HPI Percentile Ranking,Encounter Setting,Category,Category Description,Diagnosis Group,Residence,Count
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Mental Health Disorders,Not Homeless,73376
2020,75.01-100 (Most Healthy),Inpatient,Sex,Female,Substance Use Disorders,Not Homeless,12136
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,All Other Diagnoses,Homeless,2458
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Homeless,9611
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Mental Health Disorders,Homeless,2097
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Substance Use Disorders,Homeless,8337
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,All Other Diagnoses,Not Homeless,190731
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Co-Occuring Disorders,Not Homeless,22393
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Mental Health Disorders,Not Homeless,39524
2020,75.01-100 (Most Healthy),Inpatient,Sex,Male,Substance Use Disorders,Not Homeless,27093
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Homeless,2592
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Homeless,11508
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Homeless,3028
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Homeless,7098
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Not Homeless,310885
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Not Homeless,33413
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Not Homeless,41746
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Not Homeless,54983
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Homeless,878
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Homeless,2161
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Homeless,848
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Homeless,1270
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Not Homeless,176314
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Not Homeless,17944
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Not Homeless,51493
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Not Homeless,26763
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Homeless,75
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Homeless,1315
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Homeless,285
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Homeless,581
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Not Homeless,20218
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Not Homeless,2576
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Not Homeless,4899
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Not Homeless,2983
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Homeless,122
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Homeless,355
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Homeless,132
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Homeless,158
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Not Homeless,137357
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Not Homeless,8841
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Not Homeless,18826
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Not Homeless,11812
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Homeless,186
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Homeless,570
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Homeless,212
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Homeless,407
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Not Homeless,11322
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Not Homeless,2514
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Not Homeless,1974
2020,0-25 (Least Healthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Not Homeless,3242
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Homeless,1993
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Homeless,8442
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Homeless,1662
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Homeless,7186
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Not Homeless,202657
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Not Homeless,26075
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Not Homeless,33688
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Not Homeless,37038
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Homeless,904
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Homeless,2905
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Homeless,1172
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Homeless,1521
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Not Homeless,199081
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Not Homeless,20183
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Not Homeless,64329
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Not Homeless,25073
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Homeless,87
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Homeless,222
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Homeless,84
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Homeless,111
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Not Homeless,17759
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Not Homeless,2278
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Not Homeless,4688
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Not Homeless,2468
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Homeless,180
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Homeless,1541
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Homeless,499
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Homeless,239
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Not Homeless,185155
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Not Homeless,12974
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Not Homeless,28639
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Not Homeless,14865
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Homeless,188
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Homeless,1022
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Homeless,341
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Homeless,430
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Not Homeless,11011
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Not Homeless,2605
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Not Homeless,2055
2020,25.01-50 (Somewhat Unhealthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Not Homeless,2761
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Homeless,1337
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Homeless,5659
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Homeless,1149
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Homeless,5250
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Not Homeless,104247
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Not Homeless,17584
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Not Homeless,21265
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Not Homeless,21504
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Homeless,701
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Homeless,2509
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Homeless,984
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Homeless,1051
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Not Homeless,186802
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Not Homeless,16673
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Not Homeless,64678
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Not Homeless,19488
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Homeless,61
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Homeless,480
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Homeless,114
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Homeless,87
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Not Homeless,16210
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Not Homeless,2196
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Not Homeless,4256
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Not Homeless,1857
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Homeless,144
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Homeless,1010
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Homeless,236
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Homeless,304
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Not Homeless,202851
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Not Homeless,16292
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Not Homeless,36402
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Not Homeless,14952
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Homeless,115
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Homeless,2556
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Homeless,481
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Homeless,289
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Not Homeless,8658
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Not Homeless,2042
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Not Homeless,1614
2020,50.01-75 (Somewhat Healthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Not Homeless,1934
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Homeless,1811
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Homeless,8275
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Homeless,1607
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Homeless,7526
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,All Other Diagnoses,Not Homeless,50822
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,Co-Occuring Disorders,Not Homeless,11292
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,Mental Health Disorders,Not Homeless,12310
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medi-Cal,Substance Use Disorders,Not Homeless,11585
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Homeless,1093
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Homeless,3228
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Homeless,1287
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Homeless,1774
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,All Other Diagnoses,Not Homeless,162238
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,Co-Occuring Disorders,Not Homeless,12288
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,Mental Health Disorders,Not Homeless,58436
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Medicare,Substance Use Disorders,Not Homeless,13708
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Homeless,110
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Homeless,412
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Homeless,139
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Homeless,196
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,All Other Diagnoses,Not Homeless,10935
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,Co-Occuring Disorders,Not Homeless,1161
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,Mental Health Disorders,Not Homeless,2542
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Other Payer,Substance Use Disorders,Not Homeless,1070
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Homeless,147
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Homeless,1219
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Homeless,308
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Homeless,298
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,All Other Diagnoses,Not Homeless,208940
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,Co-Occuring Disorders,Not Homeless,15671
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,Mental Health Disorders,Not Homeless,38418
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Private Coverage,Substance Use Disorders,Not Homeless,11572
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Homeless,175
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Homeless,589
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Homeless,129
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Homeless,449
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,All Other Diagnoses,Not Homeless,7271
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,Co-Occuring Disorders,Not Homeless,1182
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,Mental Health Disorders,Not Homeless,1205
2020,75.01-100 (Most Healthy),Inpatient,Expected Payer,Uninsured,Substance Use Disorders,Not Homeless,1294
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,All Other Diagnoses,Homeless,282
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,Co-Occuring Disorders,Homeless,1035
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,Mental Health Disorders,Homeless,392
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,Substance Use Disorders,Homeless,636
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,All Other Diagnoses,Not Homeless,34518
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,Co-Occuring Disorders,Not Homeless,3907
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,Mental Health Disorders,Not Homeless,6709
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Other Race/Ethnicity,Substance Use Disorders,Not Homeless,5259
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,All Other Diagnoses,Homeless,16
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,Co-Occuring Disorders,Homeless,205
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,Mental Health Disorders,Homeless,38
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,Substance Use Disorders,Homeless,89
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,All Other Diagnoses,Not Homeless,1733
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,Co-Occuring Disorders,Not Homeless,437
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,Mental Health Disorders,Not Homeless,472
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,American Indian/Alaska Native,Substance Use Disorders,Not Homeless,620
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Asian/Pacific Islander,All Other Diagnoses,Homeless,116
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Asian/Pacific Islander,Co-Occuring Disorders,Homeless,415
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Asian/Pacific Islander,Mental Health Disorders,Homeless,145
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Asian/Pacific Islander,Substance Use Disorders,Homeless,139
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Asian/Pacific Islander,All Other Diagnoses,Not Homeless,37988
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Asian/Pacific Islander,Co-Occuring Disorders,Not Homeless,1388
2020,0-25 (Least Healthy),Inpatient,Race/Ethnicity Group,Asian/Pacific Islander,Mental Health Disorders,Not Homeless,4802
